code,branch_code,supplier_code,issue_date,total_cost,total_discount,total_fees,total_amount
4706,1,76,2014-10-02,0,0,0,133.880000
4707,1,76,2014-10-02,0,0,0,12.200000
4708,1,132,2014-10-02,0,0,0,1573.670000
4709,1,316,2014-10-03,0,0,0,2229.160000
4710,1,17,2014-10-03,0,0,0,13.500000
4712,1,17,2014-10-03,0,0,0,18.000000
4713,1,17,2014-10-03,0,0,0,26.100000
4714,1,17,2014-10-03,0,0,0,16.200000
4715,1,17,2014-10-03,0,0,0,9.000000
4716,1,17,2014-10-03,0,0,0,40.500000
4717,1,17,2014-10-03,0,0,0,268.200000
4718,1,17,2014-10-06,0,0,0,13.500000
4719,1,71,2014-10-06,0,0,0,170.000000
4720,1,76,2014-10-06,0,0,0,6.110000
4721,1,17,2014-10-06,0,0,0,13.500000
4723,1,17,2014-10-06,0,0,0,22.500000
4724,1,17,2014-10-07,0,0,0,63.000000
4725,1,17,2014-10-07,0,0,0,13.500000
4726,1,17,2014-10-07,0,0,0,14.400000
4727,1,76,2014-10-07,0,0,0,18.330000
4728,1,17,2014-10-07,0,0,0,119.700000
4729,1,17,2014-10-07,0,0,0,32.400000
4730,1,17,2014-10-08,0,0,0,270.000000
4731,1,17,2014-10-08,0,0,0,58.500000
4732,1,17,2014-10-08,0,0,0,99.000000
4733,1,17,2014-10-08,0,0,0,121.500000
4734,1,17,2014-10-08,0,0,0,13.500000
4735,1,17,2014-10-08,0,0,0,87.840000
4736,1,338,2014-10-08,0,0,0,354.600000
4737,1,17,2014-10-09,0,0,0,111.600000
4738,1,17,2014-10-09,0,0,0,115.200000
4739,1,17,2014-10-09,0,0,0,25.200000
4740,1,17,2014-10-09,0,0,0,34.200000
4741,1,334,2014-10-09,0,0,0,808.630000
4742,1,17,2014-10-09,0,0,0,45.000000
4743,1,71,2014-10-09,0,0,0,170.000000
4744,1,17,2014-10-09,0,0,0,32.400000
4745,1,17,2014-10-10,0,0,0,11.700000
4746,1,35,2014-10-10,0,0,0,2.500000
4747,1,17,2014-10-10,0,0,0,16.200000
4748,1,17,2014-10-10,0,0,0,2.250000
4749,1,17,2014-10-10,0,0,0,171.000000
4750,1,17,2014-10-10,0,0,0,79.200000
4751,1,223,2014-10-10,0,0,0,2127.920000
4752,1,17,2014-10-11,0,0,0,30.600000
4754,1,119,2014-10-11,0,0,0,1118.770000
4755,1,17,2014-10-11,0,0,0,67.500000
4756,1,21,2014-10-11,0,0,0,515.150000
4758,1,17,2014-10-13,0,0,0,27.000000
4759,1,17,2014-10-13,0,0,0,288.000000
4760,1,17,2014-10-13,0,0,0,11.250000
4761,1,17,2014-10-13,0,0,0,76.500000
4763,1,17,2014-10-13,0,0,0,5.400000
4764,1,17,2014-10-13,0,0,0,61.200000
4765,1,17,2014-10-13,0,0,0,1.250000
4766,1,17,2014-10-13,0,0,0,1.350000
4767,1,91,2014-10-13,0,0,0,62.460000
4769,1,91,2014-10-13,0,0,0,15.750000
4770,1,17,2014-10-13,0,0,0,18.000000
