branch_code,payment_method_code,date,total_issued,total_paid
1,6,2013-07-01,0.000000,608.560000
1,6,2013-07-03,0.000000,300.000000
1,6,2013-07-04,0.000000,599.500000
1,6,2013-07-05,0.000000,890.330000
1,6,2013-07-08,0.000000,668.920000
1,6,2013-07-09,0.000000,507.860000
1,6,2013-07-12,0.000000,770.540000
1,6,2013-07-15,0.000000,433.200000
1,6,2013-07-17,0.000000,2524.500000
1,6,2013-07-18,0.000000,420.000000
1,6,2013-07-22,0.000000,320.000000
1,6,2013-07-23,0.000000,2106.520000
1,6,2013-07-25,0.000000,466.000000
1,6,2013-07-26,0.000000,441.670000
1,6,2013-07-29,0.000000,308.550000
1,6,2013-08-08,0.000000,250.000000
1,6,2013-08-13,0.000000,953.740000
1,6,2013-08-14,0.000000,890.340000
1,6,2013-08-19,0.000000,823.600000
1,6,2013-08-20,0.000000,420.000000
1,6,2013-08-21,0.000000,1102.000000
1,6,2013-08-27,0.000000,441.650000
1,6,2013-08-29,0.000000,586.110000
1,6,2013-09-05,0.000000,425.000000
1,6,2013-09-06,0.000000,206.100000
1,6,2013-09-09,0.000000,990.750000
1,6,2013-09-10,0.000000,206.000000
1,6,2013-09-11,0.000000,1156.730000
1,6,2013-09-16,0.000000,671.280000
1,6,2013-09-18,0.000000,741.000000
1,6,2013-09-19,0.000000,256.800000
1,6,2013-09-23,0.000000,1102.000000
1,6,2013-09-24,0.000000,977.100000
1,6,2013-10-01,0.000000,1856.800000
1,6,2013-10-07,0.000000,425.000000
1,6,2013-10-08,0.000000,615.120000
1,6,2013-10-09,0.000000,110.750000
1,6,2013-10-11,0.000000,1334.600000
1,6,2013-10-14,0.000000,433.200000
1,6,2013-10-22,0.000000,207.000000
1,6,2013-10-23,0.000000,110.750000
1,6,2013-10-24,0.000000,387.000000
1,6,2013-10-30,0.000000,110.000000
1,6,2013-11-01,0.000000,1760.000000
1,6,2013-11-04,0.000000,309.100000
1,6,2013-11-06,0.000000,631.100000
1,6,2013-11-12,0.000000,1857.800000
1,6,2013-11-14,0.000000,1070.600000
1,6,2013-11-18,0.000000,1085.880000
1,6,2013-11-22,0.000000,1320.500000
1,6,2013-11-26,0.000000,334.000000
1,6,2013-11-27,0.000000,713.000000
